path,status,reason
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle0.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle1.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle10.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle100.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle102.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle105.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle107.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle109.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle11.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle111.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle113.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle116.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle117.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle118.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle119.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle12.jpg,ok,
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Ayrshirecattle121.jpg,ok,
